score,factor,type,value,association,n
pgic_result,weight,numeric,,0.04380528310530108,316
pgic_result,pregnant,categorical,nein,-0.004792065470148987,277
pgic_result,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.14159799507263626,149
pgic_result,highest_degree,categorical,Fachhochschulreife,0.3372890295358646,48
pgic_result,highest_degree,categorical,Hauptschulabschluss,0.32961359093937403,19
pgic_result,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),-0.014352384605549329,99
pgic_result,family_status,categorical,geschieden,0.06645569620253156,35
pgic_result,family_status,categorical,ledig,-0.0961459298137286,123
pgic_result,family_status,categorical,verheiratet,0.019475830430719654,149
pgic_result,current_employed,categorical,ja,-0.10844924676324785,263
pgic_result,current_employed,categorical,nein,0.5381538094100788,53
pgic_result,working_hours_model,categorical,Teilzeit,0.08188168715182575,129
pgic_result,working_hours_model,categorical,Vollzeit,-0.07882640031780275,134
pgic_result,shiftwork,categorical,ja,0.3513755312010738,17
pgic_result,shiftwork,categorical,nein,-0.02428204890413932,246
pgic_result,working_hours_reduced,categorical,False,-0.11938501176207028,226
pgic_result,working_hours_reduced,categorical,True,0.29978902953586495,90
pgic_result,children,numeric,,0.01848478274726296,151
pgic_result,headache_days_per_month,numeric,,0.2708460709081758,316
pgic_result,headache_days_severe_per_month,numeric,,0.23847970273028457,316
pgic_result,days_medication,numeric,,0.21420210872349238,316
pgic_result,intensity,numeric,,0.1055928274059804,316
pgic_result,days_lost_work,numeric,,0.2142384635683554,316
pgic_result,days_lost_household,numeric,,0.3430063260560871,316
pgic_result,days_doctor,numeric,,0.18901458450846337,316
pgic_result,days_ER,numeric,,0.08591660668893346,316
pgic_result,days_hospital,numeric,,0.10969668576471057,316
dass_depression,gender,categorical,männlich,-0.22794536141149635,28
dass_depression,gender,categorical,weiblich,0.008219374753239528,222
dass_depression,birthyear,numeric,,-0.10017946724555067,251
dass_depression,weight,numeric,,0.06134653549560226,251
dass_depression,pregnant,categorical,nein,0.010736764161421775,219
dass_depression,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.7127228789758995,122
dass_depression,highest_degree,categorical,Fachhochschulreife,0.8998741874606839,38
dass_depression,highest_degree,categorical,Hauptschulabschluss,-0.17556440903054416,15
dass_depression,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.7577689243027894,75
dass_depression,family_status,categorical,geschieden,-0.5801621101799692,29
dass_depression,family_status,categorical,ledig,-0.15802054938142085,95
dass_depression,family_status,categorical,verheiratet,-0.0005644090305443328,120
dass_depression,current_employed,categorical,ja,-0.49461202807816296,210
dass_depression,current_employed,categorical,nein,2.53337868040035,41
dass_depression,working_hours_model,categorical,Teilzeit,0.5757454383622607,107
dass_depression,working_hours_model,categorical,Vollzeit,-0.5981044845122518,103
dass_depression,shiftwork,categorical,ja,-0.17838827838827864,13
dass_depression,shiftwork,categorical,nein,0.01177181532511451,197
dass_depression,working_hours_reduced,categorical,False,-0.5427897349150879,179
dass_depression,working_hours_reduced,categorical,True,1.3494355909694562,72
dass_depression,children,numeric,,0.13886049609721904,117
dass_depression,headache_days_per_month,numeric,,0.3545042358457374,251
dass_depression,headache_days_severe_per_month,numeric,,0.3220116130407871,251
dass_depression,days_medication,numeric,,0.1726763797609026,251
dass_depression,intensity,numeric,,0.168774985171907,251
dass_depression,days_lost_work,numeric,,0.27474321194480705,251
dass_depression,days_lost_household,numeric,,0.3490745631577187,251
dass_depression,days_doctor,numeric,,0.1886645160142767,251
dass_depression,days_ER,binary,,-0.005689420697776822,251
dass_depression,days_hospital,numeric,,0.10219375254860778,251
dass_fear,gender,categorical,männlich,-0.3736482640865111,28
dass_fear,gender,categorical,weiblich,0.03883564839740172,222
dass_fear,birthyear,numeric,,-0.07512699107262732,251
dass_fear,weight,numeric,,0.017761758609667704,251
dass_fear,pregnant,categorical,nein,-0.033814636554362565,219
dass_fear,highest_degree,categorical,Abitur oder fachgebundene Hochschulreife,-0.7331330416040753,122
dass_fear,highest_degree,categorical,Fachhochschulreife,0.8143216607255193,38
dass_fear,highest_degree,categorical,Hauptschulabschluss,0.5739707835325367,15
dass_fear,highest_degree,categorical,Mittlerer Schulabschluss (Realschulabschluss),0.6806374501992032,75
dass_fear,family_status,categorical,geschieden,1.1509822777854106,29
dass_fear,family_status,categorical,ledig,0.1248479765149928,95
dass_fear,family_status,categorical,verheiratet,-0.41769588313413,120
dass_fear,current_employed,categorical,ja,-0.3069815974198442,210
dass_fear,current_employed,categorical,nein,1.5723447672723738,41
dass_fear,working_hours_model,categorical,Teilzeit,0.17565643079661752,107
dass_fear,working_hours_model,categorical,Vollzeit,-0.1824780397595931,103
dass_fear,shiftwork,categorical,ja,0.3783882783882784,13
